,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,5%,-$1\sigma$,median,+$1\sigma$,95%
logmassest_b[0],2.18601,0.06958,2.04947,2.31233,0.00163,0.00115,1824.02513,1279.50097,1.00012,2.07477,2.11686,2.18501,2.25631,2.30238
ecc_b[0],0.10041,0.10034,0.00011,0.28541,0.00655,0.00464,179.90908,255.35657,1.02935,0.00306,0.01195,0.06385,0.20193,0.30789
ecc_b_sigma_gauss,0.04894,0.01996,0.00936,0.08461,0.00073,0.00052,699.20412,346.65836,1.00076,0.01537,0.02867,0.04866,0.06911,0.08204
ecc_b_sigma_rayleigh,0.25406,0.04988,0.1542,0.34113,0.00113,0.0008,1970.17492,1357.94481,1.00033,0.17051,0.20479,0.25439,0.30323,0.33476
ecc_b_frac,0.67281,0.17025,0.39359,0.99952,0.00792,0.00586,428.45151,536.724,1.0058,0.37493,0.50165,0.68073,0.85735,0.93721
omega_b,-0.72106,1.74046,-2.98639,2.81288,0.24525,0.17443,119.24229,270.60328,1.11436,-2.84004,-2.48191,-1.14598,1.56574,2.75003
b_b,0.25966,0.1734,3e-05,0.55301,0.01,0.00708,247.6404,217.82737,1.02322,0.02463,0.07007,0.24341,0.44806,0.56975
a_Rs_b,26.05546,1.72958,22.78139,29.22521,0.16761,0.11884,96.50504,512.22356,1.03823,23.25421,24.37612,26.04826,27.5998,29.06143
incl_b,89.41942,0.39893,88.73156,89.99993,0.02112,0.01496,275.6412,205.42487,1.01993,88.69762,88.98719,89.47015,89.85251,89.94805
t0_c,2288.62809,0.00775,2288.6132,2288.63955,0.00028,0.0002,843.4126,1419.67839,1.0057,2288.61373,2288.61911,2288.62919,2288.6361,2288.63837
t0_2_c,1554.13433,0.00387,1554.12746,1554.14212,0.0001,7e-05,1461.16921,1453.85884,1.00258,1554.12799,1554.1305,1554.13438,1554.13819,1554.14083
per_c[0],734.49376,0.00863,734.47608,734.50756,0.00028,0.0002,1000.09449,1510.63048,1.00508,734.47809,734.48414,734.49474,734.50246,734.50627
